client_id;session_id;datetime;status;category
123456789012;"550e8400-e29b-41d4-a716-446655440000";2023-04-18 10:15:00.000;CORRECT;mobile-otp
123456789012;"550e8400-e29b-41d4-a716-446655440000";2023-04-18 10:20:00.000;CORRECT;otp-payment
123456789012;"550e8400-e29b-41d4-a716-446655440000";2023-04-18 10:25:00.000;INCORRECT;otp-login
987654321098;"550e8400-e29b-41d4-a716-446655440001";2023-04-19 09:30:00.000;CORRECT;default
987654321098;"550e8400-e29b-41d4-a716-446655440001";2023-04-19 09:35:00.000;CORRECT;transfer-full-otp
987654321098;"550e8400-e29b-41d4-a716-446655440001";2023-04-19 09:40:00.000;CORRECT;acc-transfer-full
123456789012;"550e8400-e29b-41d4-a716-446655440002";2023-04-20 11:15:00.000;INCORRECT;default
123456789012;"550e8400-e29b-41d4-a716-446655440002";2023-04-20 11:20:00.000;CORRECT;otp-payment
987654321098;"550e8400-e29b-41d4-a716-446655440003";2023-04-21 08:45:00.000;CORRECT;default
987654321098;"550e8400-e29b-41d4-a716-446655440003";2023-04-21 08:50:00.000;INCORRECT;transfer-full-otp
987654321098;"550e8400-e29b-41d4-a716-446655440004";2023-04-22 15:30:00.000;CORRECT;mobile-otp
123456789012;"550e8400-e29b-41d4-a716-446655440005";2023-04-23 14:15:00.000;CORRECT;otp-login
123256789012;"550e8400-e29b-41d4-a716-446655440006";2023-04-24 12:45:00.000;INCORRECT;transfer-full-otp
987654321098;"550e8400-e29b-41d4-a716-446655440007";2023-04-25 10:30:00.000;CORRECT;otp-payment
987654321098;"550e8400-e29b-41d4-a716-446655440008";2023-04-26 09:20:00.000;CORRECT;default
987654321098;"550e8400-e29b-41d4-a716-446655440009";2023-04-27 08:10:00.000;CORRECT;acc-transfer-full
123456789012;"550e8400-e29b-41d4-a716-446655440010";2023-04-28 16:30:00.000;INCORRECT;otp-login
123456789012;"550e8400-e29b-41d4-a716-446655440011";2023-04-29 15:20:00.000;CORRECT;transfer-full-otp
987654321098;"550e8400-e29b-41d4-a716-446655440012";2023-04-30 14:10:00.000;CORRECT;default
987654321098;"550e8400-e29b-41d4-a716-446655440013";2023-05-01 13:00:00.000;INCORRECT;mobile-otp
987654321098;"550e8400-e29b-41d4-a716-446655440014";2023-05-02 11:50:00.000;CORRECT;otp-payment
123456789012;"550e8400-e29b-41d4-a716-446655440015";2023-05-03 10:40:00.000;CORRECT;otp-login
123456789012;"550e8400-e29b-41d4-a716-446655440016";2023-05-04 09:30:00.000;CORRECT;transfer-full-otp
987654321098;"550e8400-e29b-41d4-a716-446655440017";2023-05-05 08:20:00.000;INCORRECT;acc-transfer-full
987654321098;"550e8400-e29b-41d4-a716-446655440018";2023-05-06 07:10:00.000;CORRECT;default
125456789012;"550e8400-e29b-41d4-a716-446655440019";2023-05-07 15:30:00.000;CORRECT;otp-login
123456789012;"550e8400-e29b-41d4-a716-446655440020";2023-05-08 14:20:00.000;CORRECT;otp-payment
987654321098;"550e8400-e29b-41d4-a716-446655440021";2023-05-09 13:10:00.000;CORRECT;transfer-full-otp
987654321098;"550e8400-e29b-41d4-a716-446655440022";2023-05-10 12:00:00.000;INCORRECT;mobile-otp
987654321098;"550e8400-e29b-41d4-a716-446655440023";2023-05-11 10:50:00.000;CORRECT;acc-transfer-full
123456789012;"550e8400-e29b-41d4-a716-446655440024";2023-05-12 09:40:00.000;CORRECT;default
123456789012;"550e8400-e29b-41d4-a716-446655440025";2023-05-13 08:30:00.000;INCORRECT;mobile-otp
987654321098;"550e8400-e29b-41d4-a716-446655440026";2023-05-14 07:20:00.000;CORRECT;otp-payment
987654321098;"550e8400-e29b-41d4-a716-446655440027";2023-05-15 06:10:00.000;CORRECT;transfer-full-otp
123456789012;"550e8400-e29b-41d4-a716-446655440028";2023-05-16 14:30:00.000;CORRECT;otp-login
123456789012;"550e8400-e29b-41d4-a716-446655440029";2023-05-17 13:20:00.000;CORRECT;default
987654321098;"550e8400-e29b-41d4-a716-446655440030";2023-05-18 12:10:00.000;INCORRECT;acc-transfer-full
987654321098;"550e8400-e29b-41d4-a716-446655440031";2023-05-19 11:00:00.000;CORRECT;mobile-otp
123456789012;"550e8400-e29b-41d4-a716-446655440032";2023-05-20 10:30:00.000;CORRECT;transfer-full-otp
